GeneSymbol	counts
DDX11L1	0
WASH7P	148
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	2
LOC729737	70
DDX11L17	0
LOC102723897	90
MIR6859-2	0
OR4F29	15
LOC100132287	33
LOC105378947	0
LOC101928626	0
NA	0
OR4F16	16
NA	38
LOC100288069	315
FAM87B	0
LINC00115	268
LINC01128	15
FAM41C	5
LINC02593	0
SAMD11	149
NOC2L	5
KLHL17	39
PLEKHN1	0
PERM1	0
HES4	4
ISG15	32
AGRN	378
NA	0
LOC105378948	0
RNF223	0
C1orf159	19
LINC01342	0
MIR200B	0
MIR200A	0
MIR429	0
TTLL10	6
TNFRSF18	26
TNFRSF4	56
SDF4	1419
B3GALT6	351
C1QTNF12	0
UBE2J2	18
SCNN1D	0
ACAP3	272
MIR6726	0
PUSL1	338
INTS11	1386
MIR6727	0
CPTP	11
TAS1R3	69
DVL1	1347
MIR6808	0
MXRA8	36
AURKAIP1	1361
CCNL2	15
MRPL20-AS1	4
MRPL20	36
ANKRD65	6
TMEM88B	0
LINC01770	0
VWA1	303
ATAD3C	6
ATAD3B	26
ATAD3A	368
TMEM240	1
SSU72	56
FNDC10	478
MIB2	6
MMP23B	94
CDK11B	430
SLC35E2B	69
MMP23A	99
CDK11A	2
SLC35E2A	171
NADK	139
GNB1	46
GNB1-DT	0
CALML6	37
TMEM52	0
CFAP74	99
GABRD	0
PRKCZ	231
PRKCZ-AS1	0
FAAP20	7
NA	0
SKI	24
NA	0
MORN1	23
LOC100129534	58
RER1	831
PEX10	557
PLCH2	23
PANK4	15
HES5	3
TNFRSF14-AS1	20
TNFRSF14	775
LOC100996583	0
PRXL2B	368
MMEL1	1
TTC34	0
ACTRT2	2
PRDM16-DT	0
PRDM16	4
MIR4251	0
ARHGEF16	361
MEGF6	252
MIR551A	0
TPRG1L	1159
WRAP73	225
TP73	317
GFOD3P	2
CCDC27	0
SMIM1	1
LRRC47	79
CEP104	98
DFFB	11
C1orf174	149
LINC01134	0
LINC01346	0
LINC01777	0
AJAP1	1
NA	0
MIR4689	0
NPHP4	5
KCNAB2	271
CHD5	0
RPL22	23
RNF207-AS1	0
RNF207	533
ICMT	340
ICMT-DT	0
HES3	0
GPR153	5
ACOT7	1
HES2	2
ESPN	255
MIR4252	0
TNFRSF25	28
PLEKHG5	96
NOL9	86
TAS1R1	1
ZBTB48	3
KLHL21	13
PHF13	256
THAP3	19
DNAJC11	257
LINC01672	0
CAMTA1	504
VAMP3	916
PER3	174
UTS2	0
TNFRSF9	1
PARK7	66
ERRFI1	19
LINC01714	0
SLC45A1	23
RERE	304
RERE-AS1	0
ENO1	112
MIR6728	0
ENO1-AS1	0
CA6	0
SLC2A7	0
SLC2A5	7
GPR157	286
MIR34A	0
H6PD	319
SPSB1	1507
LINC02606	0
SLC25A33	1
TMEM201	3
PIK3CD	82
PIK3CD-AS1	0
PIK3CD-AS2	0
CLSTN1	632
CTNNBIP1	1444
LZIC	2
NMNAT1	75
MIR5697	0
NA	0
RBP7	1
UBE4B	11
KIF1B	395
NA	0
PGD	153
CENPS-CORT	0
CENPS	0
CORT	1
DFFA	14
PEX14	11
CASZ1	607
C1orf127	0
TARDBP	70
MASP2	0
SRM	11
EXOSC10	34
MTOR	889
MTOR-AS1	0
ANGPTL7	4
UBIAD1	7
DISP3	1
LINC01647	0
FBXO2	1
FBXO44	5
FBXO6	429
MAD2L2	7
DRAXIN	1
AGTRAP	37
C1orf167	0
C1orf167-AS1	0
MTHFR	48
CLCN6	38
NPPA-AS1	0
NPPA	0
NPPB	0
RNU5E-1	0
KIAA2013	9
PLOD1	53
MFN2	1146
MIIP	22
MIR6729	0
TNFRSF8	0
MIR7846	0
TNFRSF1B	13
MIR4632	0
VPS13D	110
SNORA59A	609
DHRS3	30
MIR6730	0
AADACL4	0
AADACL3	0
CFAP107	0
PRAMEF12	0
PRAMEF1	0
PRAMEF11	0
HNRNPCL1	0
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
PRAMEF6	0
PRAMEF22	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
HNRNPCL2	0
PRAMEF36P	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF5	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0
PDPN	108
PRDM2	6
