gene,len
MT-TF,70
MT-RNR1,953
MT-TV,68
MT-RNR2,1558
MT-TL1,74
MT-ND1,955
MT-TI,68
MT-TQ,71
MT-TM,67
MT-ND2,1041
MT-TW,67
MT-TA,68
MT-TN,72
MT-TC,65
MT-TY,65
MT-CO1,1541
MT-TS1,68
MT-TD,67
MT-CO2,683
MT-TK,69
MT-ATP8,206
MT-ATP6,680
MT-CO3,783
MT-TG,67
MT-ND3,345
MT-TR,64
MT-ND4L,296
MT-ND4,1377
MT-TH,68
MT-TS2,58
MT-TL2,70
MT-ND5,1811
MT-ND6,524
MT-TE,68
MT-CYB,1140
MT-TT,65
MT-TP,67
U6,103
5S_rRNA,118
5_8S_rRNA,151
RNA5-8SN5,152
MAFIP,61461
Y_RNA,116
U1,161
U2,144
SYT15B,18875
RNA5-8SN4,152
NPY4R2,4862
LINC03015,13697
FAM25C,4469
AGAP12P,25205
LINC03014,15971
RNA5SP315,115
BMS1P7,9734
FAM20C,4606
LINC01784,621
PRAMEF11,6805
RNU5B-4P,110
ECSCR,14183
PRAMEF30P,3232
HNRNPCL1,1343
PRAMEF2,4823
SMIM33,2696
PRAMEF4,6989
STING1,7402
PRAMEF10,5374
PRAMEF7,4141
RNU6-1072P,106
PRAMEF29P,2091
PRAMEF6,9108
PRAMEF28P,2791
PRAMEF27,7099
ARHGEF19,14798
HNRNPCL3,2109
PRAMEF25,9207
ANO7L1,11558
CPLANE2,5491
MT1XP1,185
FBXO42,105640
PRAMEF34P,2792
SZRD1,45570
PRAMEF35P,1286
NCOA4P4,1860
HNRNPCL2,1366
PRAMEF36P,5026
RPL22P3,380
SPATA21,50307
PRAMEF26,9211
HNRNPCL4,1717
NECAP2,19357
PRAMEF9,7611
PRAMEF13,5221
PRAMEF18,3459
PRAMEF31P,2789
LINC01772,7533
PRAMEF5,9237
CROCCP3,16911
RNU1-1,163
LINC01783,20730
RNU1-6P,143
PDE4DIPP8,3880
PRAMEF32P,2088
RNU6-771P,106
RNU1-2,163
PRAMEF8,3833
LINC03126,12714
PRAMEF33,5368
PRAMEF22,4882
RNU1-5P,143
EIF1AXP1,434
RNU1-3,163
RNU1-4,163
PADI2,52690
CROCCP4,731
NAA50P1,500
OR8J2,6237
OR5T2,2973
OR5T3,968
OR5T1,2665
NBPF1,51243
OR8H1,3792
OR8I1P,930
OR8K3,5495
FAM8A2P,1141
OR8K2P,926
OR8K1,959
RPL5P29,893
OR8J1,7220
OR8U8,959
OR8U9,929
OR8L1P,954
MIR4740,62
MIR3186,84
LINC01971,17774
ACTG1,14434
BAHCC1,70874
LINC03048,18797
ABCD1P4,3193
PABPC1P9,2088
SLC9B1P4,47923
ACTR3BP6,1337
BCL2L14,161240
PTMAP9,326
MIR1244-4,84
LRP6,151019
OR9G1,4789
OR9G9,917
OR9G3P,917
OR9G4,7474
OR9G2P,879
OR5G1P,945
OR5G4P,759
OR5G5P,938
OR5G3,943
LINC02735,29600
RPL21P100,510
RNU6-545P,103
RNU6-318P,102
MANSC1,24186
RPL23AP66,478
LOH12CR2,1666
BORCS5,114155
DUSP16,89581
TOLLIP,35283
TOLLIP-DT,938
LINC02689,13927
BRSK2,72790
DUSP8,18220
KRTAP5-AS1,49438
KRTAP5-1,941
KRTAP5-2,1117
KRTAP5-3,898
KRTAP5-4,1180
KRTAP5-5,1155
FAM99A,3586
FAM99B,2360
LINC02708,15993
MOB2,31790
PPP2R3B,52695
RPL14P5,1598
IL3RA,46073
P2RY8,74604
SLC25A6,5961
DHRSX-IT1,2115
DHRSX,283299
ASMTL,50623
LINC00685,721
PLCXD1,27034
ZBED1,14562
MIR6089,63
LINC00102,2359
CD99,50122
Metazoa_SRP,268
FABP5P13,327
KRT18P53,116
SHOX,35067
MIR3690,74
